id,date,time,created,species_name,scientific_name,family,species type,species group,number,sex,life stage,activity,method,counting method,related species,source,location,lat,lng,modified,country division,country,validator name,last validation date,local x,local y,accuracy,notes,validation status,substrate,is certain,is escape,obscurity,embargo date,external reference,has photos,has sounds,link;
53670901,2011-04-20,,2011-04-20,Dunvlerkspanner,Lycia hirtaria,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260191,2011-04-20,Vlaams-Brabant,België,Leo Janssen,2011-04-20,142334,156449,10,op licht,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53670901/;
"53670919,2011-04-20,,2011-04-20,Hommelnestmot,Aphomia sociella,Pyralidae (lichtmotten),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260191,2011-04-20,Vlaams-Brabant,België,Leo Janssen,2011-04-20,142334,156449,10,""op licht, controle door Wim Veraghtert"",J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53670919/";
53702832,2011-04-22,,2011-04-22,Hazelaaruil,Colocasia coryli,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,Leo Janssen,2011-04-22,142335,156449,10,,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53702832/;
53702841,2011-04-22,,2011-04-22,Papegaaitje,Chloroclysta siterata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,Leo Janssen,2011-04-22,142335,156449,10,,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53702841/;
53702842,2011-04-22,,2011-04-22,Groene blokspanner,Acasis viretata,Geometridae (spanners),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702842/;
53702847,2011-04-22,,2011-04-22,Geel beertje,Eilema sororcula,Erebidae (spinneruilen),Soort,Nachtvlinders en micro's,3,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,Leo Janssen,2011-04-22,142335,156449,10,,J,,True,False,0,,,True,False,https://waarnemingen.be/observation/53702847/;
53702848,2011-04-22,,2011-04-22,Haarbos,Ochropleura plecta,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702848/;
53702851,2011-04-22,,2011-04-22,Berkeneenstaart,Drepana falcataria,Drepanidae (eenstaartjes),Soort,Nachtvlinders en micro's,3,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702851/;
53702854,2011-04-22,,2011-04-22,Tweestreepvoorjaarsuil,Orthosia cerasi,Noctuidae (uilen),Soort,Nachtvlinders en micro's,5,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702854/;
53702857,2011-04-22,,2011-04-22,Puta-uil,Agrotis puta,Noctuidae (uilen),Soort,Nachtvlinders en micro's,4,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702857/;
53702861,2011-04-22,,2011-04-22,Nunvlinder,Orthosia gothica,Noctuidae (uilen),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702861/;
53702862,2011-04-22,,2011-04-22,Eekhoorn (vlinder),Stauropus fagi,Notodontidae (tandvlinders),Soort,Nachtvlinders en micro's,1,U,onbekend,ter plaatse,,,,,Halle (Halle) (Dg),50.718543,4.260213,2011-04-22,Vlaams-Brabant,België,,,142335,156449,10,,O,,True,False,0,,,False,False,https://waarnemingen.be/observation/53702862/;
